iter	Passed	Remaining
0	2	2479
1	4	2266
2	6	2070
3	8	2012
4	9	1955
5	12	2103
6	14	2048
7	15	1970
8	18	2036
9	19	1973
10	21	1914
11	23	1967
12	25	1971
13	27	1962
14	30	1988
15	32	1989
16	34	2017
17	36	2018
18	39	2026
19	41	2026
20	42	2004
21	45	2005
22	46	1984
23	48	1967
24	49	1942
25	51	1918
26	52	1896
27	54	1874
28	55	1865
29	57	1851
30	59	1846
31	60	1843
32	62	1842
33	65	1850
34	66	1838
35	68	1834
36	69	1820
37	71	1809
38	72	1794
39	74	1784
40	75	1772
41	77	1761
42	78	1751
43	80	1749
44	82	1750
45	84	1758
46	86	1749
47	87	1738
48	89	1730
49	90	1725
50	92	1717
51	94	1725
52	96	1721
53	97	1716
54	99	1710
55	100	1700
56	102	1691
57	103	1683
58	104	1674
59	106	1673
60	108	1668
61	109	1661
62	111	1653
63	112	1648
64	114	1640
65	115	1632
66	116	1627
67	118	1620
68	119	1613
69	120	1606
70	122	1599
71	123	1592
72	124	1585
73	126	1580
74	127	1576
75	129	1570
76	130	1564
77	131	1559
78	133	1555
79	134	1551
80	136	1548
81	137	1544
82	139	1540
83	141	1538
84	142	1533
85	143	1529
86	145	1524
87	146	1519
88	148	1518
89	149	1515
90	151	1511
91	152	1507
92	154	1504
93	156	1503
94	157	1499
95	158	1496
96	160	1498
97	162	1493
98	163	1489
99	165	1485
100	166	1485
101	168	1482
102	169	1477
103	170	1471
104	171	1465
105	173	1460
106	174	1457
107	175	1453
108	177	1447
109	178	1442
110	179	1437
111	180	1434
112	182	1430
113	183	1425
114	184	1420
115	186	1418
116	187	1415
117	188	1410
118	189	1405
119	191	1402
120	192	1399
121	193	1396
122	195	1391
123	196	1387
124	197	1383
125	198	1379
126	200	1375
127	201	1373
128	202	1370
129	204	1366
130	205	1362
131	206	1359
132	207	1355
133	209	1352
134	210	1347
135	211	1343
136	212	1340
137	214	1336
138	215	1334
139	216	1331
140	218	1328
141	219	1325
142	220	1322
143	221	1318
144	223	1315
145	224	1313
146	225	1309
147	226	1306
148	228	1303
149	229	1300
150	230	1296
151	231	1294
152	233	1291
153	234	1289
154	236	1286
155	237	1283
156	238	1280
157	239	1278
158	241	1276
159	242	1272
160	243	1270
161	245	1267
162	246	1264
163	247	1261
164	248	1259
165	250	1256
166	251	1253
167	252	1250
168	253	1247
169	255	1245
170	256	1242
171	257	1239
172	258	1236
173	260	1234
174	261	1231
175	262	1229
176	263	1226
177	265	1223
178	266	1222
179	267	1219
180	268	1216
181	270	1214
182	271	1212
183	272	1209
184	274	1207
185	275	1205
186	276	1202
187	277	1199
188	279	1198
189	280	1196
190	281	1194
191	283	1192
192	284	1190
193	286	1188
194	287	1186
195	288	1184
196	290	1182
197	291	1179
198	292	1176
199	293	1175
200	295	1173
201	296	1171
202	297	1169
203	299	1167
204	300	1164
205	301	1162
206	303	1161
207	304	1159
208	305	1156
209	306	1154
210	308	1152
211	309	1151
212	311	1149
213	312	1146
214	313	1145
215	315	1143
216	316	1141
217	317	1140
218	319	1138
219	321	1138
220	322	1136
221	324	1135
222	325	1133
223	326	1132
224	328	1131
225	329	1129
226	331	1128
227	332	1125
228	333	1123
229	335	1122
230	336	1120
231	337	1118
232	339	1116
233	340	1114
234	341	1113
235	343	1111
236	344	1108
237	345	1106
238	346	1104
239	348	1103
240	349	1101
241	351	1099
242	352	1097
243	353	1095
244	355	1094
245	356	1092
246	357	1091
247	359	1090
248	360	1088
249	362	1087
250	363	1085
251	364	1083
252	366	1081
253	367	1079
254	368	1077
255	370	1076
256	371	1075
257	373	1073
258	374	1071
259	375	1069
260	377	1068
261	378	1066
262	380	1064
263	381	1063
264	382	1061
265	383	1059
266	385	1057
267	386	1056
268	388	1054
269	389	1053
270	390	1051
271	392	1050
272	393	1048
273	395	1046
274	396	1044
275	397	1042
276	398	1040
277	400	1039
278	401	1037
279	402	1035
280	404	1035
281	405	1033
282	407	1031
283	408	1030
284	410	1030
285	412	1029
286	413	1028
287	415	1026
288	416	1025
289	418	1023
290	419	1022
291	420	1020
292	422	1019
293	424	1018
294	425	1017
295	427	1016
296	428	1015
297	431	1015
298	432	1014
299	434	1013
300	436	1012
301	437	1011
302	438	1009
303	440	1008
304	441	1006
305	443	1005
306	444	1003
307	446	1002
308	447	1000
309	448	999
310	450	997
311	451	996
312	452	994
313	454	992
314	455	990
315	457	989
316	458	987
317	459	986
318	460	984
319	462	982
320	463	981
321	465	979
322	466	977
323	467	976
324	469	974
325	470	972
326	471	970
327	473	969
328	474	967
329	475	965
330	477	964
331	478	962
332	479	960
333	481	959
334	482	957
335	483	955
336	485	954
337	486	953
338	487	951
339	489	949
340	490	947
341	491	946
342	493	944
343	494	943
344	496	942
345	497	940
346	498	938
347	500	937
348	501	936
349	503	935
350	504	933
351	506	932
352	507	930
353	509	929
354	510	928
355	512	926
356	513	925
357	515	923
358	516	922
359	517	920
360	519	919
361	520	918
362	522	916
363	524	915
364	525	914
365	527	913
366	528	911
367	529	909
368	530	907
369	532	906
370	533	904
371	534	903
372	536	901
373	537	899
374	538	898
375	540	896
376	541	894
377	542	892
378	543	891
379	545	889
380	546	887
381	547	885
382	548	884
383	550	882
384	551	881
385	553	879
386	554	878
387	556	877
388	557	875
389	559	874
390	560	872
391	561	871
392	563	869
393	564	868
394	565	866
395	567	864
396	568	863
397	569	861
398	570	859
399	572	858
400	573	856
401	574	855
402	576	853
403	577	851
404	578	850
405	579	848
406	581	846
407	582	845
408	583	843
409	585	842
410	586	840
411	587	838
412	589	837
413	590	835
414	591	834
415	593	833
416	594	831
417	596	830
418	597	828
419	599	827
420	600	825
421	601	824
422	603	822
423	604	821
424	605	819
425	607	818
426	608	816
427	610	815
428	611	813
429	612	811
430	613	810
431	615	808
432	616	807
433	617	805
434	618	803
435	619	801
